session,rtt,download_lossrate,download_throughput,Stalling_number,Stalling_length,join_time,QoE_linear
1,973,0.02,3944,2,4931,24431,3
1,913,0.06,3925,2,4432,23074,3
1,853,0.09,3906,1,25760,23227,2
1,793,0.13,3887,2,23999,32664,2
1,733,0.13,3868,2,17137,24977,3
1,673,0.1,3849,2,44960,14735,2
1,613,0.06,3830,2,8462,12255,4
1,553,0.02,3811,2,3538,10250,4
1,493,0.02,3792,1,1780,7488,4
1,433,0.05,3773,1,4338,7467,4
1,373,0.09,3754,4,3474,14846,4
1,313,0.13,3735,3,5872,12428,4
1,253,0.14,3716,2,7909,11131,4
1,193,0.1,3697,1,6092,5737,4
1,133,0.06,3678,1,1519,4064,5
1,73,0.02,3659,1,358,3219,5
1,13,0.01,3640,0,0,2162,5
1,47,0.05,3621,0,0,3171,5
1,107,0.09,3602,3,1050,3454,5
1,167,0.12,3583,2,6260,28150,3
1,227,0.14,3564,1,21161,24363,2
1,287,0.1,3545,2,11814,31003,3
1,347,0.06,3526,1,5781,10286,4
1,407,0.03,3507,3,4022,9700,4
1,467,0.01,3488,1,1496,7280,5
1,527,0.05,3469,2,4381,10142,4
1,587,0.09,3450,2,11090,13237,4
1,647,0.12,3431,2,34917,75880,1
1,707,0.14,3412,2,16262,20236,3
1,767,0.1,3393,2,12384,17427,3
1,827,0.07,3374,2,7203,23724,3
1,887,0.03,3355,1,5302,11210,4
1,947,0.01,3336,2,3953,13182,4
1,1007,0.05,3317,2,11336,19663,3
1,1067,0.08,3298,2,11516,22490,3
1,1127,0.12,3279,2,17945,30574,2
1,1187,0.14,3260,1,12123,52074,1
1,1247,0.11,3241,2,14635,34610,2
1,1307,0.07,3222,1,10987,25273,3
1,1367,0.03,3203,1,7057,28356,3
1,1427,0.01,3184,2,3351,19508,4
1,1487,0.04,3165,2,7528,31353,3
1,1547,0.08,3146,2,14776,35655,2
1,1607,0.12,3127,2,1466,84783,1
1,1667,0.15,3108,2,12746,201612,1
1,1727,0.11,3089,2,16717,54352,1
1,1787,0.07,3070,2,11307,48243,2
1,1847,0.03,3051,2,13444,33615,2
1,1907,0,3032,2,4255,22403,3
1,1967,0.04,3013,2,17969,33519,2
1,1973,0.08,2994,1,15889,38075,2
1,1913,0.12,2975,2,70901,66888,1
1,1853,0.15,2956,2,30564,63125,1
1,1793,0.11,2937,1,14429,87309,1
1,1733,0.07,2918,2,20549,67951,1
1,1673,0.04,2899,2,5636,54666,2
1,1613,0,2880,1,3015,20085,4
1,1553,0.04,2861,2,9965,27362,3
1,1493,0.08,2842,2,1886,53940,2
1,1433,0.11,2823,2,30539,49664,1
1,1373,0.15,2804,1,25682,32232,2
1,1313,0.11,2785,2,23557,33776,2
1,1253,0.08,2766,1,23010,28205,2
1,1193,0.04,2747,1,42988,75008,1
1,1133,0,2728,2,1989,14670,4
1,1073,0.04,2709,3,8060,20009,3
1,1013,0.07,2690,2,19024,23008,3
1,953,0.11,2671,1,9003,41910,2
1,893,0.15,2652,2,7986,27865,3
1,833,0.12,2633,2,34000,48598,1
1,773,0.08,2614,1,1002,45000,2
1,713,0.04,2595,2,4011,15763,4
1,653,0,2576,1,4,9015,4
1,593,0.03,2557,1,2002,11013,4
1,533,0.07,2538,1,7002,10871,4
1,473,0.11,2519,1,2982,59896,1
1,413,0.15,2500,2,7008,38887,2
1,353,0.12,2481,1,5996,9012,4
1,293,0.08,2462,1,1677,8298,4
1,233,0.04,2443,1,1004,4762,5
1,173,0.01,2424,0,0,3903,5
1,113,0.03,2405,1,996,3593,5
1,53,0.07,2386,2,2997,4807,5
1,7,0.11,2367,0,0,2740,5
1,67,0.14,2348,1,4825,13974,4
1,127,0.12,2329,1,1979,3770,5
1,187,0.08,2310,1,4012,5728,4
1,247,0.05,2291,2,1018,7616,5
1,307,0.01,2272,1,4982,4865,4
1,367,0.03,2253,2,2998,6845,4
1,427,0.07,2234,1,4003,7883,4
1,487,0.1,2215,1,4967,10995,4
1,547,0.14,2196,1,9978,13669,4
1,607,0.12,2177,1,7975,18773,3
1,667,0.09,2158,2,4992,21830,3
1,727,0.05,2139,2,8010,12919,4
1,787,0.01,2120,2,1930,10896,4
1,847,0.03,2101,1,4994,15958,4
1,907,0.06,2082,1,6000,24012,3
1,967,0.1,2063,1,18981,21856,3
1,1027,0.14,2044,2,9006,44885,2
1,1087,0.12,2025,2,10976,27007,3
1,1147,0.09,2006,1,25995,27495,2
1,1207,0.05,1987,2,9003,24819,3
1,1267,0.01,1968,2,1010,17003,4
1,1327,0.02,1949,2,8982,17894,3
1,1387,0.06,1930,2,19971,28984,2
1,1447,0.1,1911,2,5989,52669,2
1,1507,0.14,1892,2,57021,65879,1
1,1567,0.13,1873,2,17008,87001,1
1,1627,0.09,1854,1,31895,36010,1
1,1687,0.05,1835,1,12998,47808,2
1,1747,0.02,1816,2,9016,24429,3
1,1807,0.02,1797,2,4980,28019,3
1,1867,0.06,1778,2,7006,28769,3
1,1927,0.1,1759,3,22033,75702,1
1,1987,0.13,1740,2,30994,52901,1
1,1953,0.13,1721,2,31000,111951,1
1,1893,0.09,1702,2,19969,48798,1
1,1833,0.06,1683,2,11001,50876,1
1,1773,0.02,1664,1,8955,19791,3
1,1713,0.02,1645,1,4019,23936,3
1,1653,0.06,1626,2,4000,48987,2
1,1593,0.09,1607,1,25035,30734,2
1,1533,0.13,1588,2,5002,85869,1
1,1473,0.13,1569,2,19000,63902,1
1,1413,0.09,1550,1,22008,41635,1
1,1353,0.06,1531,2,9000,30775,3
1,1293,0.02,1512,2,3972,20853,4
1,1233,0.02,1493,2,7994,33005,3
1,1173,0.05,1474,1,15995,20750,3
1,1113,0.09,1455,2,11001,46999,2
1,1053,0.13,1436,2,1007,93726,1
1,993,0.13,1417,1,24002,30869,2
1,933,0.1,1398,1,6006,26862,3
1,873,0.06,1379,1,8954,15831,4
1,813,0.02,1360,2,3972,12998,4
1,753,0.01,1341,2,3975,10996,4
1,693,0.05,1322,2,5955,17326,4
1,633,0.09,1303,1,3005,19817,4
1,573,0.13,1284,2,4997,18860,4
1,513,0.14,1265,2,38907,18093,2
1,453,0.1,1246,2,9000,10766,4
1,393,0.06,1227,3,3973,8611,4
1,333,0.03,1208,3,2009,8899,4
1,273,0.01,1189,1,1035,5706,5
1,213,0.05,1170,1,1003,5873,5
1,153,0.09,1151,1,1956,5687,5
1,93,0.12,1132,3,5000,5750,4
1,33,0.14,1113,1,5001,5804,4
1,27,0.1,1094,2,2010,3987,5
1,87,0.06,1075,6,4987,15570,4
1,147,0.03,1056,1000,400000,400000,1
1,378,0,2563,0,0,6922,5
1,318,0.04,2544,2,8999,9243,4
1,138,0.15,2487,2,15993,22824,3
1,18,0.07,2449,2,9,3885,5
1,102,0,2411,1,1,4837,5
1,162,0.04,2392,3,2013,7415,4
1,222,0.08,2373,4,1897,8922,4
1,342,0.15,2335,2,12005,10516,4
1,582,0,2259,0,0,7774,5
1,822,0.15,2183,2,45914,63684,1
1,1062,0,2107,3,4,11989,4
1,1302,0.15,2031,2,18004,36280,2
1,1782,0.14,1879,2,31007,46003,1
1,1978,0.01,1803,2,2009,28103,3
1,1738,0.14,1727,2,9004,64642,1
1,1258,0.14,1575,2,27996,33714,1
1,778,0.14,1423,2,7007,100713,1
1,538,0.01,1347,4,6947,9211,4
1,2,0.02,1176,1,4,5762,5
1,242,0.13,1100,1,1984,10975,4
1,302,0.09,1081,2,4002,19918,4
1,362,0.06,1062,1,1006,8685,4
1,422,0.02,1043,2,2952,10279,4
1,482,0.02,1024,2,1008,8957,4
1,542,0.05,1005,1,2003,15699,4
1,602,0.09,986,2,2004,22002,4
1,662,0.13,967,2,33026,12972,2
1,722,0.13,948,1,1039,17999,4
1,782,0.1,929,2,6032,28993,3
1,842,0.06,910,2,2936,18639,4
1,902,0.02,891,1,1010,26995,3
1,962,0.02,872,2,4943,17056,4
1,1022,0.05,853,2,17009,19830,3
1,1082,0.09,834,2,6045,21531,3
1,1142,0.13,815,2,35001,29292,1
1,1202,0.14,796,1,1005,48997,2
1,357,0.01,2463,1,3021,8138,4
1,297,0.04,2444,2,6157,13639,4
1,117,0.15,2387,2,12587,22470,3
1,57,0.11,2368,1,4087,11132,4
1,3,0.07,2349,0,0,3477,5
1,63,0.03,2330,1,407,10431,4
1,123,0,2311,0,0,3048,5
1,183,0.04,2292,2,4437,10636,4
1,303,0.12,2254,1,34316,31795,1
1,363,0.15,2235,2,10728,20392,3
1,543,0.04,2178,2,2998,12167,4
1,603,0,2159,1,129,8504,5
1,843,0.15,2083,2,5189,28299,3
1,1083,0,2007,2,1860,15977,4
1,1323,0.15,1931,2,22718,38097,2
1,1563,0,1855,2,3473,21417,4
1,1803,0.15,1779,2,7220,90694,1
1,1957,0.01,1703,2,11222,22074,3
1,1717,0.14,1627,1,41420,37466,1
1,1237,0.14,1475,1,20959,85683,1
1,757,0.14,1323,2,20843,29285,2
1,517,0.01,1247,5,3516,8694,4
1,277,0.14,1171,2,13111,16930,3
1,23,0.02,1076,4,4420,4757,4
1,83,0.06,1057,2,2030,8652,4
1,143,0.1,1038,1,3773,6622,4
1,203,0.13,1019,2,1936,15035,4
1,263,0.13,1000,2,2403,15984,4
1,323,0.09,981,4,5249,17687,4
1,383,0.06,962,1,4304,8697,4
1,443,0.02,943,1,1498,8554,4
1,503,0.02,924,3,2326,10168,4
1,563,0.06,905,2,4909,11628,4
1,623,0.09,886,2,7893,24417,3
1,683,0.13,867,2,6055,18754,4
1,743,0.13,848,1,9315,22713,3
1,803,0.09,829,1,4012,40049,2
1,863,0.06,810,2,3123,17509,4
1,923,0.02,791,2,3922,19856,4
1,983,0.02,772,2,8247,21941,3
1,1043,0.05,753,2,5634,24711,3
1,1103,0.09,734,1,6525,26556,3
1,1163,0.13,715,2,52187,31440,1
1,1223,0.13,696,2,22696,44538,1
1,1283,0.1,677,2,20537,28091,2
1,1343,0.06,658,2,14350,30098,2
1,1403,0.02,639,2,10520,25786,3
1,1463,0.01,620,2,5484,21933,3
1,1523,0.05,601,1,11629,18526,3
1,1583,0.09,582,2,14539,75380,1
1,1643,0.13,563,2,69961,38610,1
1,1703,0.14,544,2,21242,81642,1
1,1763,0.1,525,2,14786,34909,2
1,1823,0.06,506,1,15744,36655,2
1,1943,0.01,532,2,13470,31037,2
1,1997,0.05,551,2,18531,55559,1
1,1817,0.14,608,2,31148,89107,1
1,1337,0.14,760,2,13793,39096,2
1,857,0.14,912,2,12457,26745,3
1,617,0,988,1,1544,8835,4
1,377,0.15,1064,2,4756,12160,4
1,137,0,1140,4,3763,5020,5
1,17,0.08,1178,1,7518,6463,4
1,103,0.15,1216,1,3018,14212,4
1,343,0,1292,0,0,5957,5
1,403,0.04,1311,2,4412,7475,4
1,463,0.07,1330,2,2186,18919,4
1,583,0.15,1368,1,22807,16757,3
1,823,0,1444,3,623,12422,4
1,1063,0.15,1520,3,60115,42745,1
1,1303,0,1596,2,2699,14912,4
1,297,0.02,2356,2,1098,5452,5
1,237,0.02,2375,2,6920,6161,4
1,177,0.06,2394,1,3008,5593,5
1,117,0.09,2413,2,4483,9850,4
1,57,0.13,2432,1,2675,9141,4
1,3,0.13,2451,1,4255,3668,5
1,183,0.02,2508,1,1847,4074,5
1,243,0.02,2527,1,1135,3978,5
1,303,0.06,2546,3,5065,8192,4
1,1837,0.01,3135,2,8612,17952,3
1,1357,0.01,3287,2,3177,14064,4
1,1117,0.15,3363,1,19282,16357,3
1,877,0,3439,1,111,10486,4
1,637,0.15,3515,1,31206,26348,2
1,397,0,3591,0,0,5515,5
1,157,0.15,3667,2,10619,28418,3
1,83,0,3743,0,0,2912,5
1,323,0.15,3819,2,30523,10659,3
1,563,0,3895,1,468,8810,4
1,803,0.15,3971,1,2021,53588,2
1,1043,0.01,4047,1,8788,21891,3
1,1523,0.01,4199,1,7286,20560,3
1,1703,0.1,4256,1,37933,38588,1
1,1763,0.14,4275,2,43731,99717,1
1,1883,0.09,4313,2,48156,79376,1
1,1943,0.05,4332,2,14218,60398,1
1,1997,0.01,4351,2,6856,33339,3
1,1937,0.03,4370,2,17920,37117,2
1,1877,0.06,4389,2,14640,51246,1
1,1817,0.1,4408,2,39450,114670,1
1,1757,0.14,4427,2,32055,90070,1
1,1697,0.12,4446,2,35925,85614,1
1,1637,0.09,4465,2,42655,49751,1
1,1577,0.05,4484,2,11374,38420,2
1,1517,0.01,4503,2,3902,20375,4
1,1457,0.02,4522,1,6544,22006,3
1,1397,0.06,4541,2,3720,45976,2
1,1337,0.1,4560,1,18175,49382,1
1,1277,0.14,4579,2,49073,76193,1
1,1217,0.13,4598,2,22709,69917,1
1,1157,0.09,4617,1,25503,40917,1
1,1097,0.05,4636,2,13496,45472,2
1,1037,0.02,4655,2,1896,23520,4
1,977,0.02,4674,2,5670,18499,4
1,917,0.06,4693,2,13702,39272,2
1,377,0.09,4864,2,16369,34781,2
1,77,0.02,4959,0,0,2446,5
1,17,0.02,4978,0,0,1983,5
1,103,0.09,5016,1,5328,17916,4
1,763,0.1,5225,1,28505,42213,1
1,823,0.06,5244,1,15060,33311,2
1,883,0.03,5263,2,5894,20216,3
1,943,0.01,5282,4,6908,15466,4
1,1003,0.05,5301,2,17267,28736,2
1,1063,0.09,5320,1,30864,29206,2
1,1123,0.12,5339,2,19736,66221,1
1,1183,0.14,5358,2,37665,71387,1
1,1243,0.1,5377,2,37000,46773,1
1,1303,0.06,5396,2,20296,36689,2
1,1363,0.03,5415,2,13619,27859,3
1,1423,0.01,5434,2,7642,23632,3
1,1483,0.05,5453,2,26899,40744,1
1,1543,0.08,5472,2,40966,127522,1
1,1603,0.12,5491,2,31968,121727,1
1,1663,0.14,5510,2,26627,89930,1
1,1723,0.1,5529,2,35086,42136,1
1,1783,0.07,5548,2,11352,69154,1
1,1843,0.03,5567,2,11760,36607,2
1,1903,0.01,5586,2,7953,33648,3
1,1963,0.04,5605,2,21032,43479,1
1,1977,0.08,5624,2,4617,67323,1
1,1917,0.12,5643,2,49386,132545,1
1,1857,0.14,5662,2,34217,57834,1
1,1797,0.11,5681,2,41774,79787,1
1,1737,0.07,5700,2,15569,32403,2
1,1677,0.03,5719,2,10093,31522,3
1,1617,0,5738,1,3142,19974,4
1,1557,0.04,5757,2,13389,24347,3
1,1497,0.08,5776,2,29174,62499,1
1,1437,0.12,5795,2,46264,71161,1
1,1377,0.15,5814,2,14087,175752,1
1,1317,0.11,5833,2,17940,73335,1
1,1257,0.07,5852,2,17520,35994,2
1,1197,0.03,5871,2,12916,35651,2
1,1137,0,5890,2,2587,16023,4
1,1077,0.04,5909,3,17519,38435,2
1,1017,0.08,5928,2,29589,33549,1
1,957,0.11,5947,1,25755,27191,2
1,897,0.15,5966,2,13309,91001,1
1,837,0.11,5985,2,13181,54372,1
1,777,0.07,6004,2,25646,21222,2
1,717,0.04,6023,1,16267,28708,2
1,657,0,6042,1,402,10853,4
1,597,0.04,6061,1,27871,10845,3
1,537,0.07,6080,2,17191,25017,3
1,477,0.11,6099,2,54835,38076,1
1,417,0.15,6118,2,34591,43353,1
1,357,0.11,6137,2,25618,31997,2
1,297,0.08,6156,2,15881,15365,3
1,237,0.04,6175,1,6062,10884,4
1,177,0,6194,0,0,3734,5
1,117,0.03,6213,2,2465,5753,5
1,57,0.07,6232,1,2535,6364,5
1,3,0.11,6251,2,405,3446,5
1,63,0.15,6270,2,5650,13751,4
1,123,0.12,6289,1,8530,14400,4
1,183,0.08,6308,2,9969,17896,3
1,243,0.04,6327,2,7404,11251,4
1,303,0,6346,1,796,6426,5
1,363,0.03,6365,2,13759,9186,4
1,423,0.07,6384,1,14131,16143,3
1,483,0.11,6403,2,29938,33508,1
1,543,0.14,6422,2,47844,17014,1
1,603,0.12,6441,2,36058,44665,1
1,663,0.08,6460,2,31610,16954,2
1,723,0.04,6479,2,17975,35718,2
1,783,0.01,6498,1,2997,13720,4
1,843,0.03,6517,2,3997,26739,3
1,903,0.07,6536,2,26384,28487,2
1,963,0.1,6555,1,63157,51565,1
1,1023,0.14,6574,2,36941,90910,1
1,1083,0.12,6593,2,59609,69430,1
1,1143,0.08,6612,2,18329,57138,1
1,1203,0.05,6631,2,17752,52162,1
1,1263,0.01,6650,2,2967,20555,4
1,1323,0.03,6669,2,2404,21323,4
1,1383,0.06,6688,2,14261,32609,2
1,1443,0.1,6707,2,20129,72553,1
1,1503,0.14,6726,2,25566,66490,1
1,1563,0.12,6745,2,13289,101473,1
1,1623,0.09,6764,2,51000,71963,1
1,1683,0.05,6783,1,11879,58457,1
1,1743,0.01,6802,2,2669,31223,3
1,1803,0.03,6821,2,24451,37611,1
1,1863,0.06,6840,2,38314,36283,1
1,1923,0.1,6859,2,24701,82306,1
1,1983,0.14,6878,2,72012,112847,1
1,1957,0.13,6897,2,70544,71173,1
1,1897,0.09,6916,2,20155,84225,1
1,1837,0.05,6935,2,26987,40962,1
1,1777,0.01,6954,1,11905,34131,2
1,1717,0.02,6973,2,11865,25507,3
1,1657,0.06,6992,2,13933,43397,2
1,1597,0.1,7011,2,21787,121726,1
1,1537,0.13,7030,2,25127,84242,1
1,1477,0.13,7049,1,464,95183,1
1,1417,0.09,7068,1000,400000,400000,1
1,408,0.1,3463,1,2545,26674,3
1,288,0.02,3501,1,6255,10449,4
1,228,0.01,3520,3,4619,5321,4
1,108,0.09,3558,2,13560,9441,4
1,12,0.14,3596,1,1510,5263,5
1,72,0.1,3615,1,3367,9574,4
1,132,0.06,3634,2,4306,11307,4
1,1692,0,4128,2,5165,34936,3
1,1872,0.12,4185,2,3521,74828,1
1,1932,0.15,4204,1000,400000,400000,1
1,1992,0.11,4223,2,28865,66322,1
1,1948,0.07,4242,2,35656,39263,1
1,1828,0,4280,2,2740,22490,4
1,1588,0.15,4356,2,13281,42934,2
1,1348,0,4432,1,1385,14597,4
1,1108,0.15,4508,2,11576,41461,2
1,868,0,4584,1,372,12797,4
1,688,0.11,4641,1,5534,33586,3
1,628,0.15,4660,1,12578,14531,3
1,388,0.01,4736,2,1400,5757,5
1,88,0.12,4831,3,4510,3564,5
1,28,0.08,4850,1,443,3834,5
1,32,0.04,4869,1,152,2822,5
1,92,0.01,4888,0,0,2328,5
1,152,0.03,4907,2,2155,3402,5
1,392,0.12,4983,1,16786,10249,3
1,1988,0.02,5496,2,6664,35740,3
1,1928,0.02,5515,1,6539,27889,3
1,128,0.06,6085,1,1489,3733,5
1,68,0.03,6104,0,0,2638,5
1,8,0.01,6123,0,0,1512,5
1,52,0.05,6142,1,323,2523,5
1,112,0.08,6161,1,1495,2747,5
1,172,0.12,6180,1,9789,8278,4
1,292,0.1,6218,1,2114,7545,4
1,472,0.01,6275,2,1798,6142,5
1,952,0.01,6427,2,1892,11275,4
1,1192,0.15,6503,2,13872,24611,3
1,1432,0,6579,1,3009,18483,4
1,1672,0.15,6655,2,67461,97391,1
1,1852,0.04,6712,2,7509,31435,3
1,1912,0,6731,2,5156,22957,3
1,1972,0.04,6750,2,10347,32866,2
1,1968,0.08,6769,1,21725,48985,1
1,1848,0.15,6807,2,41171,78892,1
1,1608,0,6883,2,2438,17978,4
1,1368,0.15,6959,2,19091,34950,2
1,1248,0.08,6997,1,12458,26195,3
1,1188,0.04,7016,1,12507,24910,3
1,1128,0,7035,1,2761,13534,4
1,1068,0.03,7054,2,5571,18046,4
1,1008,0.07,7073,1,8546,23090,3
1,948,0.11,7092,2,12689,24621,3
1,888,0.14,7111,2,3376,59078,1
1,828,0.12,7130,1,18823,17599,3
1,768,0.08,7149,2,6665,23532,3
1,708,0.04,7168,2,2976,13347,4
1,648,0.01,7187,1,2005,15712,4
1,588,0.03,7206,2,1846,11435,4
1,528,0.07,7225,1,2601,10932,4
1,468,0.11,7244,1,3260,13056,4
1,408,0.14,7263,2,7622,21202,3
1,348,0.12,7282,2,6940,11141,4
1,288,0.08,7301,3,3271,7847,4
1,228,0.05,7320,2,2313,4750,5
1,168,0.01,7339,0,0,4182,5
1,108,0.03,7358,2,3109,2597,5
1,48,0.07,7377,0,0,4724,5
1,12,0.1,7396,0,0,2410,5
1,72,0.14,7415,3,3708,7002,4
1,132,0.12,7434,3,3633,4968,5
1,192,0.09,7453,2,3375,7312,4
1,252,0.05,7472,1,1071,4751,5
1,312,0.01,7491,1,180,4447,5
1,372,0.03,7510,1,3510,5098,5
1,432,0.06,7529,2,3932,7130,4
1,492,0.1,7548,1,5755,13536,4
1,552,0.14,7567,1,4268,14865,4
1,612,0.13,7586,1,3255,28264,3
1,672,0.09,7605,1,6766,16923,4
1,732,0.05,7624,2,6166,15127,4
1,792,0.01,7643,1,2247,10850,4
1,852,0.02,7662,2,7669,12752,4
1,912,0.06,7681,1,11829,16848,3
1,972,0.1,7700,2,10881,26318,3
1,1032,0.14,7719,2,3897,33525,3
1,1092,0.13,7738,2,36333,35584,1
1,1152,0.09,7757,2,14566,34568,2
1,1212,0.05,7776,1,13485,19338,3
1,1272,0.02,7795,2,2620,23069,4
1,1332,0.02,7814,2,8383,22948,3
1,1392,0.06,7833,2,18442,21870,3
1,1452,0.1,7852,2,23500,30460,2
1,1512,0.13,7871,2,82884,65882,1
1,1572,0.13,7890,2,103797,89748,1
1,1632,0.09,7909,2,41292,29388,1
1,1692,0.06,7928,2,19040,58885,1
1,1752,0.02,7947,2,7900,24815,3
1,1812,0.02,7966,1,8520,25620,3
1,1872,0.06,7985,1,23796,42750,1
1,1932,0.09,8004,1,32167,43718,1
1,1992,0.13,8023,2,51991,161930,1
1,1948,0.13,8042,2,13371,100351,1
1,1888,0.1,8061,3,66253,102508,1
1,1828,0.06,8080,2,15732,31116,2
1,1768,0.02,8099,1,7117,25540,3
1,1708,0.02,8118,1,6546,28039,3
1,1648,0.05,8137,2,19226,40380,2
1,1588,0.09,8156,2,14302,34429,2
1,1528,0.13,8175,2,39715,86026,1
1,1468,0.13,8194,1,29042,37743,1
1,1408,0.1,8213,2,10467,42789,2
1,1348,0.06,8232,2,5560,28730,3
1,1288,0.02,8251,2,5962,29559,3
1,1228,0.01,8270,1,2531,13158,4
1,1168,0.05,8289,2,4213,21877,3
1,1108,0.09,8308,2,9428,24769,3
1,1048,0.13,8327,2,2960,65727,1
1,988,0.14,8346,2,10854,22399,3
1,928,0.1,8365,2,12421,20983,3
1,868,0.06,8384,2,5928,17446,4
1,808,0.03,8403,1,5282,16672,4
1,748,0.01,8422,5,8128,10990,4
1,688,0.05,8441,2,5164,12035,4
1,628,0.09,8460,1,6526,13319,4
1,568,0.12,8479,1,2991,15165,4
1,508,0.14,8498,2,9940,20530,3
1,448,0.1,8517,1,6507,11045,4
1,388,0.07,8536,2,2756,8211,4
1,328,0.03,8555,1,476,6173,5
1,268,0.01,8574,0,0,4131,5
1,208,0.05,8593,3,3416,3913,5
1,148,0.08,8612,1,2282,4595,5
1,88,0.12,8631,3,3711,11757,4
1,28,0.14,8650,2,1536,6676,5
1,32,0.1,8669,1,1104,3390,5
1,92,0.07,8688,1,2507,2500,5
1,152,0.03,8707,1,3554,3113,5
1,212,0.01,8726,1,908,3577,5
1,272,0.04,8745,1,1840,4861,5
1,332,0.08,8764,1,1001,10203,4
1,392,0.12,8783,1,22158,11005,3
1,452,0.14,8802,1,8271,15568,4
1,512,0.11,8821,1,5391,21562,3
1,572,0.07,8840,1,3288,10805,4
1,632,0.03,8859,2,3674,21766,4
1,692,0,8878,1,396,10026,4
1,752,0.04,8897,1,11977,30222,3
1,812,0.08,8916,1,25314,36562,1
1,872,0.12,8935,2,45374,39469,1
1,932,0.15,8954,2,60278,86041,1
1,992,0.11,8973,2,22054,29815,2
1,1052,0.07,8992,2,3734,51511,2
1,1112,0.04,9011,2,13346,26081,3
1,1172,0,9030,1,4256,17908,4
1,1232,0.04,9049,3,10083,25399,3
1,1292,0.08,9068,2,38189,57182,1
1,1352,0.11,9087,2,16222,72724,1
1,1412,0.15,9106,2,39107,102131,1
1,1472,0.11,9125,2,29087,88397,1
1,1532,0.07,9144,2,21238,28641,2
1,1592,0.04,9163,1,18329,40515,2
1,1652,0,9182,2,4396,22282,3
1,1712,0.04,9201,2,14596,29528,2
1,1772,0.07,9220,2,32674,37029,1
1,1832,0.11,9239,1,23775,68343,1
1,1892,0.15,9258,2,21064,159041,1
1,1952,0.11,9277,2,40064,107493,1
1,1988,0.08,9296,2,17191,85663,1
1,1928,0.04,9315,2,10470,28728,3
1,1868,0,9334,1,5292,25299,3
1,1808,0.03,9353,3,10573,39429,2
1,1748,0.07,9372,2,41391,46367,1
1,1688,0.11,9391,2,44193,57874,1
1,1628,0.15,9410,2,62320,94019,1
1,1568,0.12,9429,2,66392,41818,1
1,1508,0.08,9448,2,24539,43546,1
1,1448,0.04,9467,2,27384,39547,1
1,1388,0.01,9486,2,7069,21573,3
1,1328,0.03,9505,2,4909,25033,3
1,1268,0.07,9524,1,27688,42342,1
