user,device,video_type,complexity,bandwidth,quality,buffersize,Rebuffer,screen_size,resolution,memory_load,percent_memory,vmos,rmos
1,1,1,1,171988.1047,4300,59.743941,0,6,10,1792.31823,1.79231823,6,0
1,1,1,1,174324.3571,4300,59.596452,0,6,10,1787.89356,1.78789356,6,0
1,1,1,1,176537.196,4300,59.853772,0,6,10,1795.61316,1.79561316,6,0
1,1,1,1,177067.6868,4300,59.826091,0,6,10,1794.78273,1.79478273,6,0
1,1,1,1,172835.8665,4300,59.820541,0,6,10,1794.61623,1.79461623,6,0
1,1,1,1,172146.5086,4300,59.813161,0,6,10,1794.39483,1.79439483,6,0
1,1,1,1,169856.1021,4300,59.529184,0,6,10,1785.87552,1.78587552,6,0
1,1,1,1,167533.9237,4300,59.755496,0,6,10,1792.66488,1.79266488,6,0
1,1,1,1,36812.26038,4300,59.695078,0,6,10,1790.85234,1.79085234,6,0
1,1,1,1,32667.37356,4300,59.885396,0,6,10,1796.56188,1.79656188,6,0
1,1,1,1,31329.39593,1850,59.537863,0,6,10,595.37863,0.59537863,5,1
1,1,1,1,30412.99025,1850,59.764897,0,6,10,597.64897,0.59764897,5,1
1,1,1,1,28333.74988,1850,59.995866,0,6,10,599.95866,0.59995866,5,1
1,1,1,1,31714.11747,1850,59.962953,0,6,10,599.62953,0.59962953,5,1
1,1,1,1,31417.69365,4300,59.944276,0,6,10,1798.32828,1.79832828,6,0
1,1,1,1,28279.55234,4300,59.667337,0,6,10,1790.02011,1.79002011,6,0
1,1,1,1,27640.86359,1850,59.585933,0,6,10,595.85933,0.59585933,5,1
1,1,2,0,53462.88,750,4,16,6,10,20,0.02,1,1
1,1,2,0,81326.33218,4300,7.976492,0,6,10,239.29476,0.23929476,6,1
1,1,2,0,98899.13762,4300,11.949314,0,6,10,358.47942,0.35847942,6,1
1,1,2,0,110746.1925,4300,15.923144,0,6,10,477.69432,0.47769432,6,1
1,1,2,0,119857.1305,4300,19.895486,0,6,10,596.86458,0.59686458,6,1
1,1,2,0,169781.1718,4300,23.874975,0,6,10,716.24925,0.71624925,6,1
1,1,2,0,170325.209,4300,27.850679,0,6,10,835.52037,0.83552037,6,0
1,1,2,0,171986.4431,4300,31.82682,0,6,10,954.8046,0.9548046,6,0
1,1,2,0,170249.2344,4300,35.805318,0,6,10,1074.15954,1.07415954,6,0
1,1,2,0,169299.3387,4300,39.78282,0,6,10,1193.4846,1.1934846,6,0
1,1,2,0,173330.5553,4300,43.762052,0,6,10,1312.86156,1.31286156,6,0
1,1,2,0,172423.2683,4300,47.740155,0,6,10,1432.20465,1.43220465,6,0
1,1,2,0,171245.8708,4300,51.718566,0,6,10,1551.55698,1.55155698,6,0
1,1,2,0,174763.7955,4300,55.686941,0,6,10,1670.60823,1.67060823,6,0
1,1,2,0,171935.1741,4300,59.66732,0,6,10,1790.0196,1.7900196,6,0
1,1,2,0,20815.66409,750,4,967,6,10,20,0.02,1,1
1,1,2,0,22442.00018,1850,8,0,6,10,80,0.08,5,1
1,1,2,0,24362.67355,4300,12,0,6,10,360,0.36,6,1
1,1,2,0,26232.86929,4300,16,0,6,10,480,0.48,6,1
1,1,2,0,28067.83003,4300,20,0,6,10,600,0.6,6,1
1,1,2,0,136558.7891,4300,24,0,6,10,720,0.72,6,1
1,1,2,0,170325.209,4300,28,0,6,10,840,0.84,6,0
1,1,2,0,171986.4431,4300,32,0,6,10,960,0.96,6,0
1,1,2,0,170249.2344,4300,36,0,6,10,1080,1.08,6,0
1,1,2,0,169299.3387,4300,40,0,6,10,1200,1.2,6,0
1,1,2,0,173330.5553,4300,44,0,6,10,1320,1.32,6,0
1,1,2,0,172423.2683,4300,48,0,6,10,1440,1.44,6,0
1,1,2,0,171245.8708,4300,52,0,6,10,1560,1.56,6,0
1,1,2,0,174763.7955,4300,56,0,6,10,1680,1.68,6,0
1,1,2,0,171935.1741,750,59.749651,0,6,10,298.748255,0.298748255,4,1
1,1,2,0,171603.469,750,59.762485,0,6,10,298.812425,0.298812425,4,1
1,1,2,0,174515.4534,750,59.789776,0,6,10,298.94888,0.29894888,4,1
1,1,2,0,172041.9834,750,59.941613,0,6,10,299.708065,0.299708065,4,1
1,1,2,0,171245.3925,750,59.907757,0,6,10,299.538785,0.299538785,4,1
1,1,2,0,173849.5128,750,59.791641,0,6,10,298.958205,0.298958205,4,1
1,1,2,0,171931.2453,750,59.761574,0,6,10,298.80787,0.29880787,4,1
1,1,2,0,170268.5092,750,59.555027,0,6,10,297.775135,0.297775135,4,1
1,1,2,0,172874.0097,750,59.8735,0,6,10,299.3675,0.2993675,4,1
1,1,2,0,170014.5751,750,59.600218,0,6,10,298.00109,0.29800109,4,1
1,1,2,0,170476.4148,750,59.57609,0,6,10,297.88045,0.29788045,4,1
1,1,2,0,171591.1722,750,59.821111,0,6,10,299.105555,0.299105555,4,1
1,1,2,0,174741.4312,750,59.648497,0,6,10,298.242485,0.298242485,4,1
1,1,2,0,170500.1876,750,59.532452,0,6,10,297.66226,0.29766226,4,1
1,1,2,0,172021.6721,750,59.830747,0,6,10,299.153735,0.299153735,4,1
1,1,2,0,171668.3351,750,59.948205,0,6,10,299.741025,0.299741025,4,1
1,1,2,0,171800.2936,750,59.632121,0,6,10,298.160605,0.298160605,4,1
1,1,2,0,168319.5573,750,59.600867,0,6,10,298.004335,0.298004335,4,1
1,1,2,0,171988.1047,750,59.743941,0,6,10,298.719705,0.298719705,4,1
1,1,2,0,174324.3571,750,59.596452,0,6,10,297.98226,0.29798226,4,1
1,1,2,0,176537.196,750,59.853772,0,6,10,299.26886,0.29926886,4,1
1,1,2,0,177067.6868,750,59.826091,0,6,10,299.130455,0.299130455,4,1
1,1,2,0,172835.8665,750,59.820541,0,6,10,299.102705,0.299102705,4,1
1,1,2,0,172146.5086,750,59.813161,0,6,10,299.065805,0.299065805,4,1
1,1,2,0,169856.1021,750,59.529184,0,6,10,297.64592,0.29764592,4,1
1,1,2,0,167533.9237,750,59.755496,0,6,10,298.77748,0.29877748,4,1
1,1,2,0,36812.26038,750,59.695078,0,6,10,298.47539,0.29847539,4,1
1,1,2,0,32667.37356,750,59.885396,0,6,10,299.42698,0.29942698,4,1
1,1,2,0,31329.39593,1850,59.537863,0,6,10,595.37863,0.59537863,5,1
1,1,2,0,30412.99025,1850,59.764897,0,6,10,597.64897,0.59764897,5,1
1,1,2,0,28333.74988,1850,59.995866,0,6,10,599.95866,0.59995866,5,1
1,1,2,0,31714.11747,1850,59.962953,0,6,10,599.62953,0.59962953,5,1
1,1,2,0,31417.69365,4300,59.944276,0,6,10,1798.32828,1.79832828,6,0
1,1,2,0,28279.55234,4300,59.667337,0,6,10,1790.02011,1.79002011,6,0
1,1,2,0,27640.86359,1850,59.585933,0,6,10,595.85933,0.59585933,5,1
1,1,2,0,53462.88,750,4,16,6,10,20,0.02,4,1
1,1,2,0,81326.33218,750,7.976492,0,6,10,39.88246,0.03988246,4,1
1,1,2,0,98899.13762,750,11.949314,0,6,10,59.74657,0.05974657,4,1
1,1,2,0,110746.1925,750,15.923144,0,6,10,79.61572,0.07961572,4,1
1,1,2,0,119857.1305,750,19.895486,0,6,10,99.47743,0.09947743,4,1
1,1,2,0,169781.1718,750,23.874975,0,6,10,119.374875,0.119374875,4,1
1,1,2,0,170325.209,750,27.850679,0,6,10,139.253395,0.139253395,4,1
1,1,2,0,171986.4431,750,31.82682,0,6,10,159.1341,0.1591341,4,1
1,1,2,0,170249.2344,750,35.805318,0,6,10,179.02659,0.17902659,4,1
1,1,2,0,169299.3387,750,39.78282,0,6,10,198.9141,0.1989141,4,1
1,1,2,0,173330.5553,750,43.762052,0,6,10,218.81026,0.21881026,4,1
1,1,2,0,172423.2683,750,47.740155,0,6,10,238.700775,0.238700775,4,1
1,1,2,0,171245.8708,750,51.718566,0,6,10,258.59283,0.25859283,4,1
1,1,2,0,174763.7955,750,55.686941,0,6,10,278.434705,0.278434705,4,1
1,1,2,0,171935.1741,750,59.66732,0,6,10,298.3366,0.2983366,4,1
